id,text,label
2.11.H,Qual o nome da ciência que transforma cachorro em gato? Au que mia.,Trocadilho
2.11.N,Qual o nome da ciência que transforma cachorro em gato? Nenhuma.,Não trocadilho
2.12.H,Por que a vaca foi para o espaço? Para se encontrar com o vácuo.,Trocadilho
2.12.N,Por que a vaca foi para o espaço? Para se encontrar com o espaço.,Não trocadilho
2.13.H,"Quando o Papai Noel morrer, ele não estará mais em trenós.",Trocadilho
2.13.N,"Quando o Papai Noel morrer, ele não estará mais entre nós.",Não trocadilho
2.14.H,Por que o astronauta cometeu um homicídio no espaço e não foi preso? Porque foi um crime sem gravidade.,Trocadilho
2.14.N,Por que o astronauta cometeu um homicídio no espaço e não foi preso? Porque foi um crime sem dolo.,Não trocadilho
2.15.H,A partida de futebol entre cavalos terminou em patada.,Trocadilho
2.15.N,A partida de futebol entre estudantes terminou empatada.,Não trocadilho
2.16.H,Qual é o doce preferido dos átomos? Pé-de-moléculas.,Trocadilho
2.16.N,Qual é o doce preferido dos átomos? Pé-de-moleque.,Não trocadilho
2.17.H,Sabe qual é o legume que ninguém consegue domesticar? O Seu Vagem.,Trocadilho
2.17.N,Sabe qual é o legume que ninguém consegue domesticar? O nabo.,Não trocadilho
2.18.H,Recolhi duas sacas de grãos para a Patrícia Pillar.,Trocadilho
2.18.N,Recolhi duas sacas de grãos para a salada.,Não trocadilho
2.19.H,Todos morrem uma só vez. A Alanis Morrissette.,Trocadilho
2.19.N,Todos morrem uma só vez . A Alanis também.,Não trocadilho
2.20.H,Eu odeio academia. Mas o Tim Maia.,Trocadilho
2.20.N,Eu odeio academia . Mas o Tim não.,Não trocadilho
2.21.H,"Eu não esperei, mas o Jack Sparrow.",Trocadilho
2.21.N,"Eu não esperei, mas o ônibus esperou.",Não trocadilho
2.22.H,Aquilo todo mundo viu. Até o Clodovil.,Trocadilho
2.22.N,Aquilo todo mundo viu . Até o João viu.,Não trocadilho
3.1.H,Qual o contrário de paixão? Mãeteto.,Trocadilho
3.1.N,Qual o contrário de paixão? Indiferença.,Não trocadilho
3.2.H,O que o martelo foi fazer no culto? Pregar.,Trocadilho
3.2.N,O que o pastor foi fazer no culto? Pregar.,Não trocadilho
3.3.H,Por que um policial estava interrogando um saco de cimento? Porque ele queria informações concretas.,Trocadilho
3.3.N,Por que um policial estava interrogando um saco de cimento? Porque ele queria informações verdadeiras.,Não trocadilho
3.4.H,Qual é o animal que não vale mais nada? O javali.,Trocadilho
3.4.N,Qual é o animal que não vale mais nada? O tatu.,Não trocadilho
3.5.H,Qual é o nome do profissional que pinta carros em inglês? Car-pinteiro.,Trocadilho
3.5.N,Qual é o nome do profissional que pinta carros em inglês? Pintor de carro.,Não trocadilho
3.6.H,Por que o policial não gosta de sabão? Porque ele prefere detergente.,Trocadilho
3.6.N,Por que o policial não gosta de sabão? Porque ele tem alergia.,Não trocadilho
3.7.H,"O que é um pontinho amarelo na limusine? É um ""milhonário"".",Trocadilho
3.7.N,"O que é um pontinho amarelo na limusine? É um "" acidente "".",Não trocadilho
3.8.H,Quando você estiver triste é só abraçar um sapato. Um sapato consola.,Trocadilho
3.8.N,Quando você estiver triste é só abraçar um sapato . Um sapato bonito.,Não trocadilho
3.9.H,Ana e César tiveram um filho. Ele nasceu de cesariana.,Trocadilho
3.9.N,Ana e Pedro tiveram um filho . Ele nasceu de cesariana.,Não trocadilho
3.10.H,Como é que as freiras secam a roupa? Convento.,Trocadilho
3.10.N,Como é que as freiras secam a roupa? Secadora.,Não trocadilho
3.11.H,Uma pessoa passou dois dias inteiros dentro da piscina e depois foi ao médico. Sabe qual foi o diagnóstico? Nada demais.,Trocadilho
3.11.N,Uma pessoa passou dois dias inteiros dentro da piscina e depois foi ao médico . Sabe qual foi o diagnóstico? Cansaço demais.,Não trocadilho
3.12.H,Por que a aranha é o ser vivo mais carente do mundo? Porque ela é um aracneedyou.,Trocadilho
3.12.N,Por que a aranha é o ser vivo mais carente do mundo? Porque ela é uma fofa.,Não trocadilho
3.13.H,Sabe por que o pinheiro não se perde na floresta? Porque ele tem uma pinha.,Trocadilho
3.13.N,Sabe por que o pinheiro não se perde na floresta? Porque ele não se move.,Não trocadilho
3.14.H,Por que as plantas pequenas não falam? Porque elas são mudas.,Trocadilho
3.14.N,Por que as plantas pequenas não falam? Porque elas são plantas.,Não trocadilho
3.15.H,Sabe por que a panela procurou um terapeuta? Porque é uma panela depressão.,Trocadilho
3.15.N,Sabe por que a panela não procurou um terapeuta? Porque é uma panela.,Não trocadilho
3.16.H,Sabe qual é o nome do intestino do boi em espanhol? Intestino del gado.,Trocadilho
3.16.N,Sabe qual é o nome do intestino do boi em espanhol? Intestino bovino.,Não trocadilho
3.17.H,Que nome se dá a uma ferramenta perdida? Foice.,Trocadilho
3.17.N,Que nome se dá a uma ferramenta perdida? Marreta.,Não trocadilho
4.1.H,Por que é que o Capitão América ficou sem abrigo? Porque ainda usa o escudo.,Trocadilho
4.1.N,Por que é que o Carlos ficou sem abrigo? Porque ainda usa o escudo.,Não trocadilho
4.2.H,Por que é que os matemáticos bebem pouca água? Para fazerem cálculo renal,Trocadilho
4.2.N,Por que é que os matemáticos bebem pouca água? Para fazerem cálculo mental,Não trocadilho
4.3.H,Quem é aquela velhinha ali a ouvir música no telemóvel? É a avó da fone.,Trocadilho
4.3.N,Quem é aquela velhinha ali a ouvir música no telemóvel? É a avó da Maria. .,Não trocadilho
4.4.H,O que é melhor que o Star Wars? Star de férias.,Trocadilho
4.4.N,O que é melhor que o Star Wars? Ter férias.,Não trocadilho
4.5.H,Hoje caí e entornei meu leite com chocolate. Molhei-me Toddynho.,Trocadilho
4.5.N,Hoje caí e entornei meu leite com chocolate . Molhei-me todo.,Não trocadilho
4.6.H,Decidi começar a usar flores nos pés. São dálias.,Trocadilho
4.6.N,Decidi começar a usar flores nos jardins . São dálias.,Não trocadilho
4.7.H,Um casal pinou no meio do mato e teve dois filhos. São frutos do bosque.,Trocadilho
4.7.N,Um casal teve relações no meio do mato e teve dois filhos . São filhos do bosque.,Não trocadilho
4.8.H,"O Adão decidiu fazer uma tatuagem. ""Adão 4Eva""",Trocadilho
4.8.N,"O Adão decidiu fazer uma tatuagem . "" Adão &Eva """,Não trocadilho
4.9.H,"Que nome se dá a um ""A"" num trampolim? Assaltante.",Trocadilho
4.9.N,"Que nome se dá a um "" A "" num trampolim? ""A"".",Não trocadilho
4.10.H,"Pedi ao sabichão da turma para me vir a casa dar umas explicações sobre físico-química. Quando ele chegou eu disse ""Halogéneo!""",Trocadilho
4.10.N,"Pedi ao sabichão da turma para me vir a casa dar umas explicações sobre físico-química . Quando ele chegou eu disse "" Obrigada! """,Não trocadilho
4.11.H,Qual é o animal mais romântico? É a amêijoa. Porque dorme em conchinha.,Trocadilho
4.11.N,Qual é o animal mais romântico? É a amêijoa . Porque dorme em conjunto.,Não trocadilho
4.12.H,"Havia um DJ tão bom, mas tão bom, que nem sequer gravava sets. Gravava oitos.",Trocadilho
4.12.N,"Havia um DJ tão bom, mas tão bom, que nem sequer gravava sets.",Não trocadilho
4.13.H,Por que é que os Cristãos não conseguem manter um relacionamento? Porque Deus mandou amar o próximo.,Trocadilho
4.13.N,Por que é que as pessoas não conseguem manter um relacionamento? Porque são diferentes umas das outras.,Não trocadilho
4.14.H,O meu sonho é ser probre um dia. É que ser probre todos os dias é lixado.,Trocadilho
4.14.N,O meu sonho é ser probre um dia . É que ser rico todos os dias é lixado.,Não trocadilho
4.15.H,A Apple vai lançar um novo GPS em parceria com o Tony Carreira. Vai-se chamar iDestino.,Trocadilho
4.15.N,A Apple vai lançar um novo GPS em parceria com o Tony Carreira . Vai-se chamar LetsGo.,Não trocadilho
4.16.H,Como é que o Batman engata mulheres? No bate-papo.,Trocadilho
4.16.N,Como é que o Jorge engata mulheres? No bate-papo.,Não trocadilho
4.17.H,Em que local do planeta se encontram mais leprosos? Nas ilhas Caimão.,Trocadilho
4.17.N,Em que local do planeta se encontram mais leprosos? Na Ilha Sorokdo.,Não trocadilho
4.18.H,"Cristiano Ronaldo, está nervoso para o jogo com a Suécia? Não, Estocolmo.",Trocadilho
4.18.N,"Cristiano Ronaldo, está nervoso para o jogo com a Suécia? Não, confiante.",Não trocadilho
4.19.H,O meu baralho de cartas fica doido quando ligo o aspirador. Hoje encontrei o meu ás pirado,Trocadilho
4.19.N,O meu baralho de cartas fica doido quando ligo o aspirador . Hoje encontrei o meu aspirador,Não trocadilho
4.20.H,Adoro mulheres com sardas. Têm centenas de pontos a seu favor.,Trocadilho
4.20.N,Adoro mulheres com inteligência  . Têm centenas de pontos a seu favor.,Não trocadilho
4.21.H,Um turista asiático entra numa padaria. - Jápão?,Trocadilho
4.21.N,Um turista asiático entra numa padaria . - Tem pão?,Não trocadilho
4.22.H,Os médicos vão começar a passar receitas no computador. Ouvi dizer que são ficheiros comprimidos.,Trocadilho
4.22.N,Os médicos vão começar a passar receitas no computador . Ouvi dizer que são ficheiros compactados.,Não trocadilho
4.23.H,Que nome se dá a um cão que adivinha o futuro? Cãoguru.,Trocadilho
4.23.N,Que nome se dá a um cão que adivinha o futuro? Vidente.,Não trocadilho
4.24.H,Vira-se um cromossoma para outro: cromossomos bonitos!,Trocadilho
4.24.N,Vira-se um cromossoma para outro: genes bonitos!,Não trocadilho
4.25.H,Já abriu a nova discoteca para a comunidade gay. Chama-se Barbicha.,Trocadilho
4.25.N,Já abriu a nova discoteca para a comunidade gay . Chama-se Bar lovers.,Não trocadilho
4.26.H,Tudo na vida muda. Até a surda-muda.,Trocadilho
4.26.N,Tudo na vida muda . Até a paciência.,Não trocadilho
4.27.H,"Existem três tipos de camelos: com uma bossa, com duas bossas, bossaexcelência.",Trocadilho
4.27.N,"Existem dois tipos de camelos: com uma bossa e com duas bossas, vossa excelência.",Não trocadilho
4.28.H,Voltei a dizer à minha mãe que queria ser pianista. Ela diz que estou sempre a bater na mesma tecla.,Trocadilho
4.28.N,Voltei a dizer à minha mãe que queria ser futebolista . Ela diz que estou sempre a bater na mesma tecla.,Não trocadilho
4.29.H,Qual é o único animal que anda com as patas? O pato.,Trocadilho
4.29.N,Qual é o único animal que tem quatro joelhos? O elefante.,Não trocadilho
4.30.H,Hoje vi um maluco escondido debaixo do tapete. Era um doido varrido.,Trocadilho
4.30.N,Hoje vi um maluco escondido debaixo do sol . Era um doido varrido.,Não trocadilho
4.31.H,Todos os dias o meu cão foge da casota e todos os dias o vou lá prender. Pode-se dizer que o meu cão é presi-diário.,Trocadilho
4.31.N,Todos os dias o meu cão foge da casota e todos os dias o vou lá prender . Pode-se dizer que o meu cão é repetente.,Não trocadilho
4.32.H,"Era uma vez duas pizzas. Uma estava triste, então a outra vira-se: pizza-ria.",Trocadilho
4.32.N,"Era uma vez duas pizzas . Uma estava triste, então a outra vira-se: sorri.",Não trocadilho
4.33.H,Qual é a parte da mulher que cheira a banana? O nariz.,Trocadilho
4.33.N,Qual é a parte da mulher que cheira a creme? O nariz.,Não trocadilho
4.34.H,A Ana e o César tiveram um filho. Ouvi dizer que o parto foi de cesariana.,Trocadilho
4.34.N,A Maria e o João tiveram um filho . Ouvi dizer que o parto foi de cesariana.,Não trocadilho
4.35.H,Quem é a mulher mais sexy do mundo? A Irmã Lúcia. Foi a única mulher que fez vir o Papa.,Trocadilho
4.35.N,Quem é a mulher mais santa do mundo? A Irmã Lúcia . Foi a única mulher que fez vir o Papa.,Não trocadilho
4.36.H,Uma loira viu um jogo de futebol que acabou 1-0. Qual foi o seu jogador preferido? O Vidoso. Porque o golo foi do Vidoso.,Trocadilho
4.36.N,Uma loira viu um jogo de futebol que acabou 1-0 . Qual foi o seu jogador preferido? O Vidoso . Porque o golo foi dele.,Não trocadilho
4.37.H,"Era uma vez um homem tão maduro, tão maduro, tão maduro... que ficou podre.",Trocadilho
4.37.N,"Era uma vez um fruto tão maduro, tão maduro, tão maduro...que ficou podre.",Não trocadilho
4.38.H,Hoje vi uma empregada do Pingo Doce a marcar o preço nos produtos aos calhas. Ela devia estar só a preço-por os valores.,Trocadilho
4.38.N,Hoje vi uma empregada do Pingo Doce a marcar o preço nos produtos aos calhas . Ela devia estar só a pressupor os valores.,Não trocadilho
4.39.H,Como é que o Darth Vader cura as feridas? Com tintura de Yoda.,Trocadilho
4.39.N,Como é que o rapaz cura as feridas? Com tintura de Yoda.,Não trocadilho
4.40.H,"Hoje no trânsito disse ""amo-te"" a um semáforo. O semáforo ficou vermelho.",Trocadilho
4.40.N,"Hoje no trânsito disse "" amo-te "" a um semáforo . O semáforo mudou.",Não trocadilho
4.41.H,O rei de Espanha é viciado em Coca-Cola. E a filha é Infanta.,Trocadilho
4.41.N,O rei de Espanha é viciado em Coca-Cola . E a filha em Pepsi.,Não trocadilho
4.42.H,O que é que fazes com 365 preservativos usados? Fazes um pneu e chamas-lhe Goodyear.,Trocadilho
4.42.N,O que é que fazes com preservativos usados? Fazes um pneu e chamas-lhe reciclagem.,Não trocadilho
4.43.H,Porque é que o caracol foi preso? Porque deixou rasto.,Trocadilho
4.43.N,Porque é que o caracol foi preso? Porque deixou baba.,Não trocadilho
4.44.H,"Uma vez perguntaram ao Schwarzenegger porque é que ele não tinha o Windows 10, ao que ele respondeu: I still love Vista, baby.",Trocadilho
4.44.N,"Uma vez perguntaram ao João Silva porque é que ele não tinha o Windows 10, ao que ele respondeu: Ainda gosto do XP.",Não trocadilho
4.45.H,Porque é que o pirilampo teve 20 a tudo? Porque ele é um aluno brilhante.,Trocadilho
4.45.N,Porque é que o João teve 20 a tudo? Porque ele é um aluno brilhante.,Não trocadilho
4.46.H,Estão dois gatinhos à procura da mãe. Qual é o filme? Mamma mia!,Trocadilho
4.46.N,Estão dois gatinhos à procura da mãe . Qual é o filme? Os Aristogatos.,Não trocadilho
4.47.H,O que é que as crianças dos carpinteiros fazem? Brin-cadeiras.,Trocadilho
4.47.N,O que é que as crianças dos carpinteiros fazem? Brincadeiras.,Não trocadilho
4.48.H,O que é um pontinho verde numa noiva? A greenalda.,Trocadilho
4.48.N,O que é um pontinho verde numa noiva? A grinalda.,Não trocadilho
4.49.H,Como se chama o irmão do Clemente? É o Clediziaverdade.,Trocadilho
4.49.N,Como se chama o irmão do Clemente? É o Júlio.,Não trocadilho
4.50.H,Eu tenho uma teoria sobre a inércia. Mas não parece estar a ganhar muita força.,Trocadilho
4.50.N,Eu tenho uma teoria sobre a relatividade . Mas não parece estar a ganhar muita força.,Não trocadilho
4.51.H,Como se encontra um cego numa praia de nudistas? Não é duro.,Trocadilho
4.51.N,Como se encontra um cego numa praia de nudistas? Está vestido.,Não trocadilho
4.52.H,O que é um ponto preto no oceano? É um blackalhau.,Trocadilho
4.52.N,O que é um ponto preto no oceano? É um bacalhau.,Não trocadilho
4.53.H,Os termómetros foram festejar o início do verão. A festa foi na casa dos 30 graus.,Trocadilho
4.53.N,Os turistas foram festejar o início do verão . A festa foi na casa dos 30 amigos.,Não trocadilho
4.54.H,"Como se manda calar uma rapariga numa sessão de cinema do Star Wars? Chew, bacca!",Trocadilho
4.54.N,Como se manda calar uma rapariga numa sessão de cinema do Star Wars? Silêncio!,Não trocadilho
4.55.H,O que é um omossexual? É um sabão em pó com o qual se lavam as partes íntimas.,Trocadilho
4.55.N,O que é um omo? É um sabão em pó com o qual se lavam as partes íntimas.,Não trocadilho
4.56.H,Porque é que os carpinteiros são bons a fazer contas? Porque tabuada é com eles.,Trocadilho
4.56.N,Porque é que os contabilistas são bons a fazer contas? Porque tabuada é com eles.,Não trocadilho
4.57.H,O que é que a Mariah Carey? O que a Alicia Keys.,Trocadilho
4.57.N,O que é que a Mariah Carey canta? O mesmo que a Alicia Keys.,Não trocadilho
4.58.H,O que são cinco pontos coloridos num jardim? São os Flower Rangers.,Trocadilho
4.58.N,O que são cinco heróis coloridos num jardim? São os Flower Rangers.,Não trocadilho
4.59.H,"Estão dois pontos a comerem-se, vira-se um: olha lá isto é sério ou é um caso pontual?",Trocadilho
4.59.N,"Estão dois pontos a comerem-se, vira-se um: olha lá isto é sério ou é um caso?",Não trocadilho
4.60.H,Qual é a cor que os eletricistas menos gostam? O rosa choque.,Trocadilho
4.60.N,Qual é a cor que os eletricistas menos gostam? O rosa.,Não trocadilho
4.61.H,Uma mulher manda-se dum prédio e acerta num homem que ia a passar. Qual é o filme? A cusada de morte.,Trocadilho
4.61.N,Uma mulher manda-se dum prédio e acerta num homem que ia a passar . Qual é o filme? Vertigo.,Não trocadilho
4.62.H,Como é medida a pressão dos barris de cerveja? Em bares.,Trocadilho
4.62.N,Como é medida a pressão dos barris de petróleo? Em bares.,Não trocadilho
4.63.H,O que é que se faz num velório de lésbicas? Um minete de silêncio.,Trocadilho
4.63.N,O que é que se faz num velório de lésbicas? Um minuto de silêncio.,Não trocadilho
4.64.H,Porque é que as galinhas não conduzem? Porque chocam.,Trocadilho
4.64.N,Porque é que as galinhas não conduzem? Porque não têm habilitação.,Não trocadilho
4.65.H,Porque é que o corcunda de Notre Dame não costuma falar com ninguém? Porque ele é Quasimudo.,Trocadilho
4.65.N,Porque é que o corcunda de Notre Dame não costuma falar com ninguém? Porque ele é tímido.,Não trocadilho
4.66.H,Eu adoro fiambre. E o Nicolas Cage.,Trocadilho
4.66.N,Eu adoro fiambre . E também queijo.,Não trocadilho
4.67.H,Porque é que as galinhas não gostam de ralis? Porque não vêem nada capoeira.,Trocadilho
4.67.N,Porque é que as galinhas não gostam de ralis? Porque não vêem nada com o pó.,Não trocadilho
4.68.H,Porque é que apanhar sol não é um desporto olímpico? Porque o melhor que consegues é um bronze.,Trocadilho
4.68.N,Porque é que pintar de bronze não é um desporto olímpico? Porque o melhor que consegues é um bronze.,Não trocadilho
4.69.H,Toda a gente tem cultura. Algumas pessoas só de bactérias.,Trocadilho
4.69.N,Toda a gente tem cultura . Algumas pessoas só de filmes.,Não trocadilho
4.70.H,Como se chama o protagonista do Dragon Ball com hemorroidas? Sangroku.,Trocadilho
4.70.N,Como se chama o protagonista do Dragon Ball com hemorroidas? Sangoku.,Não trocadilho
4.71.H,Porque é que uma mulher partiu a perna ao filho na cozinha? Porque não tinha canela para pôr no bolo.,Trocadilho
4.71.N,Porque é que uma mulher pediu a noz-moscada ao filho na cozinha? Porque não tinha canela para pôr no bolo.,Não trocadilho
4.72.H,Porque é que os filhos do Bin Laden são felizes? Porque o pai Osama.,Trocadilho
4.72.N,Porque é que os filhos do Bin Laden são felizes? Porque o pai ama-os.,Não trocadilho
4.73.H,Porque é que as loiras só fazem sexo uma vez por ano? Porque o sexo anal não engravida.,Trocadilho
4.73.N,Porque é que as loiras só fazem sexo uma vez por ano? Porque o sexo anual não engravida.,Não trocadilho
4.74.H,O que é que a mãe terrorista diz ao filho que está aos saltos na cama? Daesh daí!,Trocadilho
4.74.N,O que é que a mãe terrorista diz ao filho que está aos saltos na cama? Desce daí!,Não trocadilho
4.75.H,O que é um ponto amarelo em África? Um yellowfante.,Trocadilho
4.75.N,O que é um ponto cinzento em África? Um elefante.,Não trocadilho
4.76.H,O que é que está entre dois gatos? Uma entre-meada.,Trocadilho
4.76.N,O que é que está entre dois gatos? Uma meada.,Não trocadilho
4.77.H,"Se o futuro depende dos teus sonhos, não percas tempo. Vai dormir.",Trocadilho
4.77.N,"Se o futuro depende dos teus sonhos, não percas tempo . Vai à luta.",Não trocadilho
4.78.H,Como se chama um homem sem mão? Simão.,Trocadilho
4.78.N,Como se chama um homem sem mão? Maneta.,Não trocadilho
4.79.H,O que é uma búzia? São doze búzios.,Trocadilho
4.79.N,O que é o Exu? São doze búzios.,Não trocadilho
4.80.H,Hoje fui ao ginásio e queimei 1.200 calorias. Para a próxima não deixo a pizza no forno.,Trocadilho
4.80.N,Hoje fui ao ginásio e queimei 1.200 calorias . Para a próxima tenho de ir com mais calma.,Não trocadilho
4.81.H,"Quando soube que os Nirvana alcançaram a fama, o Kurt não Cobain si de contente.",Trocadilho
4.81.N,"Quando soube que os Nirvana alcançaram a fama, o João Silva não coube em si de contente.",Não trocadilho
4.82.H,O que é um ponto rosa no chão? Uma gaynha.,Trocadilho
4.82.N,O que é um ponto rosa no chão? Uma grainha.,Não trocadilho
4.83.H,O que é uma roubalheira? É o ato de roubar uma alheira.,Trocadilho
4.83.N,O que é uma roubalheira? É o ato de roubar uma casa.,Não trocadilho
4.84.H,"Como é que se diz ""coração"" em italiano? Mio cardio.",Trocadilho
4.84.N,"Como é que se diz "" coração "" em italiano? Cuore.",Não trocadilho
4.85.H,Porque é que nunca roubaram a mota do japonês? Porque ele compra Y-amaha.,Trocadilho
4.85.N,Porque é que nunca roubaram a mota do japonês? Porque ele compra usada.,Não trocadilho
4.86.H,O que é que os espelhos fazem no dia antes das eleições? Refletem em quem vão votar.,Trocadilho
4.86.N,O que é que os idosos fazem no dia antes das eleições? Refletem em quem vão votar.,Não trocadilho
4.87.H,Que nome se dá a uma chinesa muito docinha? Shanti-Lee.,Trocadilho
4.87.N,Que nome se dá a uma chinesa muito docinha? Lee.,Não trocadilho
4.88.H,Fiz uma música sobre uma tortilha. É um wrap.,Trocadilho
4.88.N,Fiz uma música sobre uma tortilha . É um sucesso.,Não trocadilho
4.89.H,"Como é que se diz ""ano"" na Índia? Indiano.",Trocadilho
4.89.N,"Como é que se diz "" ano "" na Índia? वर्ष.",Não trocadilho
4.90.H,"Como é que se diz ""copia bem"" em inglês? Copyright.",Trocadilho
4.90.N,"Como é que se diz "" copia bem "" em inglês? Copy & paste.",Não trocadilho
4.91.H,O que diz uma aranha carente? Arac-need-you!,Trocadilho
4.91.N,O que diz uma aranha carente? Saudades!,Não trocadilho
4.92.H,Porque é que o Simba não fez o jantar? Porque está à espera que o Mufasa.,Trocadilho
4.92.N,Porque é que o Simba não fez o jantar? Porque está à espera que o Pumba faça.,Não trocadilho
4.93.H,Porque é que no Iraque só existem hotéis em meia-pensão? Porque a outra metade foi com o caralho.,Trocadilho
4.93.N,Porque é que no Reino Unido só existem hotéis em meia-pensão? Porque os outros estão lotados.,Não trocadilho
4.94.H,"Numa escola de Beja, a professora faz a chamada dos alunos. Qual é o filme? Tou, stori.",Trocadilho
4.94.N,"Numa escola de Beja, a professora faz a chamada dos alunos . Qual é o filme? Un aluno brilhante.",Não trocadilho
4.95.H,Qual é a única profissão que necessita de uma mãozinha para trabalhar? É a manicure.,Trocadilho
4.95.N,Qual é a única profissão que necessita de verniz de unhas para trabalhar? É a manicure.,Não trocadilho
4.96.H,Que nome se dá a um cacto engraçado? Ri-cardo.,Trocadilho
4.96.N,Que nome se dá a um cacto engraçado? Cacti.,Não trocadilho
4.97.H,Que nome se dá a uma pizza cheia de gordura? Pizza de quatro queixos.,Trocadilho
4.97.N,Que nome se dá a uma pizza cheia de gordura? Pizza de quatro queijos.,Não trocadilho
4.98.H,O que é um ponto amarelo no trânsito? É uma limãosine.,Trocadilho
4.98.N,O que é um carro amarelo no trânsito? É um táxi.,Não trocadilho
4.99.H,"Comprei um dicionário, mas as páginas vinham em branco. Nem tenho palavras para descrever a minha revolta.",Trocadilho
4.99.N,"Comprei um livro, mas as páginas vinham em branco . Nem tenho como descrever a minha revolta.",Não trocadilho
4.100.H,A São estava com prisão de ventre mas mesmo assim foi à sanita. Qual é o filme? Tentação.,Trocadilho
4.100.N,A Anabela estava com prisão de ventre mas mesmo assim foi à sanita . Qual é o filme? Tentação.,Não trocadilho
4.101.H,Numa reunião de viciados em cirurgias plásticas anónimos: Esta semana vejo aqui algumas caras novas e devo dizer que estou muito desapontado.,Trocadilho
4.101.N,Numa reunião de alcoólicos anónimos: Esta semana vejo aqui algumas caras novas e devo dizer que estou muito desapontado.,Não trocadilho
4.102.H,O que é um javaqui? Um javali que está muito próximo.,Trocadilho
4.102.N,O que é um leitão? Um porco que é ainda novo.,Não trocadilho
4.103.H,Qual é a única coisa que se faz sempre em numeração romana? XI XI.,Trocadilho
4.103.N,Qual é a única coisa que se faz sempre em numeração romana? MCLXIV.,Não trocadilho
4.104.H,Qual é a consola de jogos preferida dos polícias? Wii U! Wii U! Wii U! Wii U!,Trocadilho
4.104.N,Qual é a consola de jogos preferida dos polícias? Nenhuma em especial.,Não trocadilho
4.105.H,Recementecemente foi descoberta uma nova doença na manteiga. Parece que se espalha com muita facilidade.,Trocadilho
4.105.N,Recementecemente foi descoberta uma nova doença na China . Parece que se espalha com muita facilidade.,Não trocadilho
4.106.H,Qual é a flor que os homens mais gostam de oferecer às mulheres? Tulimpas.,Trocadilho
4.106.N,Qual é a flor que os homens mais gostam de oferecer às mulheres? Tulipas.,Não trocadilho
4.107.H,O que é que o Harry Potter lê quando está doente? Saramago.,Trocadilho
4.107.N,O que é que o João Silva lê quando está doente? Saramago.,Não trocadilho
4.108.H,"Uma feminista perguntou-me de que forma eu via as relações lésbicas. Parece que ""em HD"" não era a resposta correta...",Trocadilho
